,Id,Company,Model,Horsepower,Torque,Transmission Type,Drivetrain,Fuel Economy,Number of Doors,Price,Model Year Range,Body Type,Engine Type,Number of Cylinders,Seats,Fuel Type,Colour
194,28a5d5aa-d23d-4041-b18d-3138a5a43cd1,Skoda,Enyaq iV,201 hp,221 lb-ft,Single-speed automatic,Rear-wheel drive,77 MPGe,5,"Starting at $39,990",2023-2024,SUV,Electric,0,2,Petrol,"['blue', 'grey', 'silver', 'brown']"
195,7e44fb7c-f5f9-42c5-ab71-98f74f2f0701,SEAT,Arona,110 hp,148 lb-ft,6-speed manual,Front-wheel drive,28/39 mpg,5,"Starting at $22,990",2023-2024,SUV,4-cylinder,4,2,CNG,"['red', 'blue', 'black', 'green', 'yellow']"
196,63ed2df3-f389-4dc4-a557-dce26e5199fb,SEAT,Ibiza,110 hp,148 lb-ft,6-speed manual,Front-wheel drive,28/39 mpg,5,"Starting at $19,990",2023-2024,Hatchback,4-cylinder,4,2,Diesel,"['blue', 'silver', 'yellow', 'silver', 'brown']"
197,4bc826d7-d70b-4dd4-9e98-1d76dd537a42,SEAT,Leon,148 hp,184 lb-ft,7-speed DSG,Front-wheel drive,28/39 mpg,5,"Starting at $26,990",2023-2024,Sedan,4-cylinder,4,2,Petrol,"['red', 'blue', 'black', 'brown']"
198,f0910964-7d30-45fb-8d5f-2c75b39020f2,SEAT,Leon Sportstourer,148 hp,184 lb-ft,7-speed DSG,Front-wheel drive,28/39 mpg,5,"Starting at $28,990",2023-2024,Wagon,4-cylinder,4,5,CNG,"['black', 'yellow', 'silver']"
199,a46c7dc7-5670-49d7-9bf5-74cf64175f63,SEAT,Tarraco,188 hp,221 lb-ft,7-speed DSG,Front-wheel drive,21/28 mpg,7,"Starting at $32,990",2023-2024,SUV,4-cylinder,4,7,Petrol,"['red', 'white', 'blue', 'black', 'yellow']"
200,896117e6-dd00-47fe-b613-725e992ddce8,SEAT,Mii,70 hp,74 lb-ft,5-speed manual,Front-wheel drive,32.5/42.5 mpg,3,"Starting at $15,490",2023-2024,Hatchback,3-cylinder,3,7,Petrol,"['red', 'black', 'silver', 'grey', 'green', 'yellow', 'silver']"
201,c34ddd77-182f-49b3-9d8a-a572b48cb6c5,SEAT,Born,201 hp,221 lb-ft,Single-speed automatic,Rear-wheel drive,77 MPGe,5,"Starting at $39,990",2023-2024,Hatchback,Electric,0,7,Diesel,"['red', 'blue', 'black', 'green', 'yellow']"
202,616ef5ad-7dfc-411b-a948-b7b40fc13365,Opel/Vauxhall,Adam,70 hp,74 lb-ft,5-speed manual,Front-wheel drive,32.5/42.5 mpg,3,"Starting at $15,490",2023-2024,Hatchback,3-cylinder,3,4,Diesel,"['red', 'white', 'silver', 'silver', 'brown']"
203,9ad181ad-8c7c-4703-bd2c-b3a3ea76b19a,Opel/Vauxhall,Corsa,108 hp,138 lb-ft,5-speed manual,Front-wheel drive,27/37 mpg,5,"Starting at $18,000",2023-2024,Hatchback,3-cylinder,3,4,Diesel,"['white', 'blue', 'black', 'silver', 'yellow', 'brown']"
204,153ed5ad-eab8-49ce-8910-8709a3d88bab,Opel/Vauxhall,Astra,158 hp,184 lb-ft,8-speed automatic,Front-wheel drive,27/37 mpg,5,"Starting at $26,000",2023-2024,Sedan,4-cylinder,4,2,CNG,"['red', 'white', 'blue', 'black', 'green', 'yellow', 'silver', 'brown']"
205,0d15e734-3e41-4585-92bd-0ea4f7cb0db9,Opel/Vauxhall,Insignia,272 hp,332 lb-ft,8-speed automatic,Rear-wheel drive,22/30 mpg,5,"Starting at $34,000",2023-2024,Sedan,V6,6,5,Petrol,"['red', 'white', 'black', 'silver', 'grey', 'green', 'yellow', 'silver', 'brown']"
206,dcabf146-bba4-463f-a739-85d5ea37f205,Opel/Vauxhall,Mokka,175 hp,195 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $24,000",2023-2024,SUV,3-cylinder,3,2,CNG,"['white', 'blue', 'black', 'silver', 'grey', 'green', 'yellow']"
207,3d3bb6e9-5acf-43db-b424-96b839b8f8fc,Opel/Vauxhall,Grandland,180 hp,199 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $30,000",2023-2024,SUV,4-cylinder,4,5,Petrol,"['white', 'black', 'grey', 'green', 'silver', 'brown']"
208,c73c5af5-4e22-4501-8a15-a9ca2c349cec,Opel/Vauxhall,Crossland,119 hp,138 lb-ft,8-speed automatic,Front-wheel drive,27/38 mpg,5,"Starting at $23,990",2023-2024,SUV,3-cylinder,3,7,Diesel,"['white', 'black', 'silver', 'green', 'yellow', 'silver', 'brown']"
209,47fc5bfd-d0b2-45e3-917b-f52743f076cb,Opel/Vauxhall,Combo,108 hp,138 lb-ft,5-speed manual,Front-wheel drive,27/37 mpg,5,"Starting at $18,000",2023-2024,Van,3-cylinder,3,4,CNG,"['blue', 'yellow', 'brown']"
210,4cc27058-c5e6-4651-b32b-a755ee6606d4,Opel/Vauxhall,Vivaro,148 hp,184 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $27,990",2023-2024,Van,4-cylinder,4,5,Diesel,"['green', 'yellow', 'silver']"
211,223370f9-50d5-47aa-af8d-a7b88e0c7b42,Opel/Vauxhall,Movano,180 hp,199 lb-ft,8-speed automatic,Front-wheel drive,21/28 mpg,7,"Starting at $32,990",2023-2024,Van,4-cylinder,4,2,Petrol,"['silver', 'silver', 'brown']"
212,3164ff69-6724-4e00-bfd0-039859c4b9dd,Mini,Cooper,134 hp,162 lb-ft,7-speed dual-clutch automatic,Front-wheel drive,28/37 mpg,3,"Starting at $24,000",2023-2024,Hatchback,3-cylinder,3,7,Diesel,"['red', 'blue', 'silver', 'brown']"
213,4dfb8d8a-d560-42d6-bb3a-84ca0562baad,Mini,Cooper S,189 hp,207 lb-ft,7-speed dual-clutch automatic,Front-wheel drive,27/36 mpg,3,"Starting at $28,000",2023-2024,Hatchback,4-cylinder,4,4,Petrol,"['red', 'white', 'blue', 'black', 'silver']"
214,83d48508-e763-438c-901c-6ceb679ba278,Mini,John Cooper Works,228 hp,236 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,3,"Starting at $33,000",2023-2024,Hatchback,4-cylinder,4,5,Diesel,"['red', 'black', 'green', 'yellow']"
215,ff30ac82-d02f-485a-b8e2-4bf85fe90143,Mini,Cooper SE,181 hp,199 lb-ft,Single-speed automatic,Rear-wheel drive,119 MPGe,5,"Starting at $30,000",2023-2024,Hatchback,Electric,0,4,Petrol,['blue']
216,365c557b-2198-48f0-9c20-e5e1a5f03dbd,Mini,Countryman,189 hp,207 lb-ft,7-speed dual-clutch automatic,Front-wheel drive,24/31 mpg,5,"Starting at $29,000",2023-2024,SUV,4-cylinder,4,7,Petrol,"['blue', 'black', 'silver', 'grey', 'brown']"
217,0d380202-8bb2-42b1-b8cf-1b8121504c5d,Mini,Clubman,189 hp,207 lb-ft,7-speed dual-clutch automatic,All-wheel drive,24/31 mpg,5,"Starting at $32,000",2023-2024,Wagon,4-cylinder,4,7,Diesel,"['red', 'silver', 'yellow', 'silver', 'brown']"
218,2ebdcf43-5ef6-4875-a1b3-2bd88824fa7a,Mini,Paceman,189 hp,207 lb-ft,7-speed dual-clutch automatic,All-wheel drive,24/31 mpg,5,"Starting at $33,000",2023-2024,SUV,4-cylinder,4,2,Diesel,"['red', 'blue', 'black', 'silver', 'green', 'yellow', 'silver']"
219,40dd3f68-11d1-496b-9cf4-b78a366d7c1c,Mini,Countryman John Cooper Works,301 hp,332 lb-ft,8-speed automatic,All-wheel drive,22/29 mpg,5,"Starting at $40,000",2023-2024,SUV,4-cylinder,4,2,Petrol,"['red', 'white', 'blue', 'black', 'yellow', 'brown']"
220,6ccbada8-dbde-482f-ae5c-bd482e34f70a,Saab,9-5,250 hp,273 lb-ft,6-speed automatic,Front-wheel drive,19/28 mpg,4,"Starting at $37,990",2011,Sedan,turbocharged inline-4,4,7,Petrol,"['red', 'silver', 'grey', 'yellow', 'brown']"
221,5e53b85b-4ef8-4f82-b7f0-0204fbca466b,Saab,9-3,227 hp,236 lb-ft,6-speed automatic,Front-wheel drive,20/29 mpg,4,"Starting at $32,990",2011,Sedan,turbocharged inline-4,4,2,Diesel,"['white', 'black', 'silver', 'grey']"
222,901a4911-6a2f-4bb4-84f7-124ece3a902b,Saab,9-3 Convertible,227 hp,236 lb-ft,6-speed automatic,Front-wheel drive,19/28 mpg,2,"Starting at $39,990",2011,Convertible,turbocharged inline-4,4,7,Diesel,"['blue', 'black', 'silver', 'green', 'yellow', 'silver']"
223,bc3542c9-1988-4448-b132-8f91bf9e2008,Saab,9-5 SportCombi,250 hp,273 lb-ft,6-speed automatic,All-wheel drive,18/26 mpg,5,"Starting at $42,990",2011,Wagon,turbocharged inline-4,4,4,Petrol,"['blue', 'grey', 'brown']"
224,bc764e8b-8fbd-4b86-bca6-7bb3622c488e,Dodge,Grand Caravan,283 hp,260 lb-ft,Automatic,FWD,20 mpg,4 or 5,"$28,530-$34,490",1984-2020,Van,Gas V6,6,7,Petrol,"['white', 'silver', 'grey', 'green', 'yellow', 'brown']"
225,f93c9394-36a8-408a-84ec-2b1ffa768f96,Dodge,Challenger SRT Demon,840 hp,770 lb-ft,Automatic,RWD,13 mpg,2,"$84,995",2018,Coupe,Gas V8,8,4,Petrol,"['red', 'blue', 'grey', 'yellow']"
226,a26b559c-168d-4892-bba4-537e1e6c1c7c,Dodge,Viper,645-640 hp,600-600 lb-ft,Manual,RWD,13-21 mpg,2,"$87,895-$90,390",1992-2017,Coupe/Convertible,Gas V10,10,2,CNG,"['blue', 'silver', 'yellow', 'silver', 'brown']"
227,75f0d16c-9971-44c2-8312-ecbe51a25a29,Bugatti,Chiron,"1,500 hp","1,180 lb-ft",7-speed dual-clutch automatic,All-wheel drive,11 mpg,2,"$3,000,000",2016-Present,Coupe,W16,16,4,CNG,"['white', 'grey', 'yellow']"
228,5fa912c9-98f3-4e86-8535-26bae05719bb,Bugatti,Veyron,"1,001 hp",750 lb-ft,7-speed dual-clutch automatic,All-wheel drive,9 mpg,2,"$1,700,000",2005-2015,Coupe,W16,16,7,CNG,"['white', 'silver']"
229,efa7de0a-351a-4e22-9b37-0024e41a3d8c,Bugatti,EB 110,552 hp,451 lb-ft,4-speed automatic,All-wheel drive,13 mpg,2,"$1,100,000",1991-1995,Coupe,W16,16,2,Diesel,"['blue', 'black', 'silver', 'grey', 'green', 'yellow', 'brown']"
230,c5a93a15-b363-4539-9128-42feacd185a5,Bugatti,EB 110 SS,611 hp,451 lb-ft,4-speed automatic,All-wheel drive,13 mpg,2,"$1,300,000",1993-1995,Coupe,W16,16,2,CNG,"['blue', 'silver', 'green', 'yellow', 'silver']"
231,addd2ce2-58f4-4f71-a09b-7e08fa094241,Maserati,Ghibli,345 hp,369 lb-ft,8-speed shiftable automatic,RWD,19/26 mpg,4,"$74,390",2014 - present,Sedan,Twin-turbocharged V6,6,5,CNG,"['blue', 'silver']"
232,958b53e6-2c89-449e-87ef-c8c5fb6b093f,Maserati,Quattroporte,424 hp,428 lb-ft,8-speed shiftable automatic,RWD,16/23 mpg,4,"$102,390",2013 - present,Sedan,Twin-turbocharged V6 or V8,6 or 8,2,Petrol,"['red', 'black', 'green', 'silver']"
233,b4c2c2a1-5504-449b-bd71-f08f48e90d1e,Maserati,Levante,345 hp,369 lb-ft,8-speed shiftable automatic,AWD,16/22 mpg,4,"$77,890",2017 - present,SUV,Twin-turbocharged V6,6,4,Petrol,"['white', 'blue', 'silver', 'green', 'silver', 'brown']"
234,5c2c0360-483a-4cc6-b91c-5ef7c0a85c12,Maserati,GranTurismo,454 hp,384 lb-ft,6-speed shiftable automatic,RWD,13/20 mpg,2,"$134,300",2008 - present,Coupe/Convertible,Naturally aspirated V8,8,4,CNG,"['red', 'grey', 'green', 'yellow', 'brown']"
235,c3f8c7c1-d2b5-4ea9-9f13-dc4baf9b91c8,Lancia,Stratos HF,190 hp,166 lb-ft,5-speed manual,Rear-wheel drive,,2,,1973-1978,Coupe,2.4L V6,6,5,CNG,"['white', 'blue']"
236,5ad3c7b2-03a5-488b-a827-d0711cb094ae,Lancia,Delta Integrale,215 hp,231 lb-ft,5-speed manual,All-wheel drive,,5,,1987-1994,Hatchback,2.0L turbocharged inline-4,4,4,Petrol,"['red', 'blue', 'black', 'silver', 'grey', 'silver']"
237,ba0255f9-76d3-42a3-b9d3-afb3b351e872,Lancia,Thema 8.32,215 hp,213 lb-ft,5-speed manual,Front-wheel drive,,4,,1986-1994,Sedan,3.0L V8,8,7,Petrol,"['white', 'silver']"
238,da541d15-47a7-461b-97f6-9b017f1fbfd5,Lancia,Aurelia B24,118 hp,136 lb-ft,4-speed manual,Rear-wheel drive,,2,,1954-1955,"Coupe, Convertible",2.5L V6,6,7,Petrol,"['white', 'silver', 'yellow', 'brown']"
239,d4c94455-ffb1-400f-b9f0-fd0d00535fe9,Lancia,Fulvia,115 hp,108 lb-ft,5-speed manual,Front-wheel drive,,2,,1963-1976,Coupe,1.3L inline-4,4,2,Petrol,"['red', 'blue', 'black', 'grey', 'silver', 'brown']"
240,5d9b641f-ae4d-4ce6-a4fc-c6a03fd679d3,Pagani,Huayra,730 hp,738 lb-ft,7-speed sequential manual,Rear-wheel drive,12 mpg,2,$2.6 million,2011-Present,Coupe,V12,12,4,CNG,"['white', 'blue', 'black', 'silver', 'silver']"
241,f3dbeec6-23cb-4ea9-a1dd-1fc4e4e14c88,Pagani,Zonda,760 hp,780 lb-ft,6-speed sequential manual,Rear-wheel drive,10 mpg,2,$1.5 million,1999-2015,Coupe,V12,12,4,Diesel,"['red', 'white', 'silver', 'green', 'silver', 'brown']"
242,98b09f8f-e9ff-4a48-8582-fc947f5c8522,Pagani,Huayra BC,789 hp,811 lb-ft,7-speed sequential manual,Rear-wheel drive,11 mpg,2,$3.0 million,2016-2018,Coupe,V12,12,5,Diesel,"['blue', 'black', 'silver', 'green', 'yellow', 'silver', 'brown']"
243,6bbd4d95-e88b-4941-8218-d8a36a4ed7a2,Pagani,Huayra R,851 hp,811 lb-ft,7-speed sequential manual,Rear-wheel drive,11 mpg,2,$2.6 million,2017-Present,Track Car,V12,12,4,CNG,"['red', 'black', 'grey', 'green', 'yellow', 'silver']"
244,b172ca0d-83e5-4723-9f0b-c2d39ab3b14e,Pagani,Huayra Imola,827 hp,821 lb-ft,7-speed sequential manual,Rear-wheel drive,11 mpg,2,$3.2 million,2020-Present,Coupe,V12,12,7,Petrol,"['red', 'white', 'blue', 'silver', 'green', 'yellow', 'silver']"
245,017440ee-44ce-4364-bc75-a8546e7e3d5a,Koenigsegg,Gemera,"1,700 hp","1,700 lb-ft",9-speed multi-clutch automatic,All-wheel drive,20 mpg,4,$1.7 million,2022-Present,4-seater,Twin-turbocharged V8 + 3 electric motors,8,4,Petrol,"['red', 'white', 'grey', 'green', 'yellow', 'silver', 'brown']"
246,fc078030-2227-43ae-9271-40fa3bdae231,Koenigsegg,Jesko,"1,600 hp","1,280 lb-ft",9-speed multi-clutch automatic,Rear-wheel drive,10 mpg,2,$2.8 million,2022-Present,Coupe,V8,8,5,Diesel,"['red', 'white', 'silver', 'grey', 'green', 'yellow']"
247,e0316908-6ba3-4701-a06b-2b28540da935,Koenigsegg,Regera,"1,500 hp","1,100 lb-ft",Koenigsegg Direct Drive,All-wheel drive,11 mpg,2,$2.2 million,2016-Present,Coupe,V8,8,7,Diesel,"['red', 'white', 'blue', 'black', 'grey']"
248,c4dc4024-e2c5-4a6f-8620-c02792ccd87c,Koenigsegg,Agera RS,"1,176 hp","1,170 lb-ft",7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$2.5 million,2015-2018,Coupe,V8,8,5,CNG,"['red', 'white', 'black', 'green', 'yellow']"
249,3ebc8db2-b786-4dc3-9187-ea2a3fa8a661,Koenigsegg,One:1,"1,360 hp","1,371 lb-ft",7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$2.5 million,2014-2016,Coupe,V8,8,5,Petrol,"['red', 'blue', 'black', 'yellow', 'silver']"
250,2e19fbbd-47cc-4b83-9bb3-19e12cacb7d2,Koenigsegg,Agera S,"1,140 hp","1,100 lb-ft",7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$1.5 million,2013-2014,Coupe,V8,8,4,Diesel,"['black', 'silver', 'brown']"
251,9448d05e-cfc9-49ec-af50-1fe90f005398,Koenigsegg,Agera R,"1,115 hp","1,100 lb-ft",7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$1.6 million,2011-2013,Coupe,V8,8,4,CNG,"['silver', 'green', 'silver']"
252,46231923-a253-45bc-b14e-ba3bf280d35b,Koenigsegg,CCXR Trevita,"1,018 hp",885 lb-ft,7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$4.8 million,2007-2008,Coupe,V8,8,2,CNG,"['red', 'white', 'blue', 'black', 'silver', 'yellow', 'silver', 'brown']"
253,febe68f8-9051-495f-b3ad-3163d229b3d8,Koenigsegg,CCX,806 hp,752 lb-ft,7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$1.1 million,2006-2007,Coupe,V8,8,4,Petrol,"['red', 'white', 'blue', 'silver', 'green', 'yellow', 'silver', 'brown']"
254,1f5e1f92-de46-4666-a3e1-b7f70179f78c,Koenigsegg,CCXR,806 hp,885 lb-ft,7-speed dual-clutch automatic,Rear-wheel drive,9 mpg,2,$1.6 million,2007-2008,Coupe,V8,8,7,CNG,"['red', 'black', 'silver', 'grey', 'brown']"
255,5a384e6a-b479-443d-8cf7-60b9f52dcb5f,Koenigsegg,CC,806 hp,752 lb-ft,6-speed manual,Rear-wheel drive,9 mpg,2,"$600,000",2002-2004,Coupe,V8,8,7,Petrol,"['red', 'black', 'silver', 'green', 'yellow', 'silver']"
256,9bf806f0-98b3-4654-8b4a-0413a41c8aad,Koenigsegg,CC8S,806 hp,752 lb-ft,6-speed manual,Rear-wheel drive,9 mpg,2,"$750,000",2004-2006,Coupe,V8,8,2,Petrol,"['red', 'blue', 'silver', 'green', 'yellow', 'silver', 'brown']"
257,fdd99897-0656-44e5-b808-cb2bcaffa03d,Genesis,G70,300 hp,295 lb-ft,8-speed automatic,Rear-wheel drive,23/32 mpg,4,"Starting at $35,900",2019-Present,Sedan,Inline-4,4,4,Petrol,"['white', 'black', 'silver', 'green', 'silver', 'brown']"
258,967e3c71-c958-41c0-a910-7d0e7ab6647b,Genesis,G80,375 hp,391 lb-ft,8-speed automatic,Rear-wheel drive or all-wheel drive,19/29 mpg,4,"Starting at $47,700",2020-Present,Sedan,V6,6,4,Diesel,"['white', 'silver', 'green', 'yellow', 'brown']"
259,e8079598-610d-4175-a4ff-c63aabeec65f,Genesis,GV70,300 hp,295 lb-ft,8-speed automatic,Rear-wheel drive or all-wheel drive,22/29 mpg,5,"Starting at $42,250",2022-Present,SUV,Inline-4,4,2,Diesel,"['white', 'black', 'silver', 'grey', 'brown']"
260,06ba03b8-c2c8-4987-9a5d-80bfd78968f4,Genesis,GV80,375 hp,391 lb-ft,8-speed automatic,All-wheel drive,19/27 mpg,5,"Starting at $47,700",2021-Present,SUV,V6,6,7,Diesel,"['yellow', 'silver']"
261,bc022d9b-9e57-4bda-847b-305d2fcbdf00,Genesis,GV90,375 hp,391 lb-ft,8-speed automatic,All-wheel drive,18/26 mpg,7,"Starting at $77,900",2023-Present,SUV,V6,6,2,Petrol,"['red', 'white', 'blue', 'silver', 'green']"
262,a807c5b6-00fc-4d39-97ab-2fc85877a1db,Polestar,Polestar 1,619 hp,738 lb-ft,Automatic,AWD,58 MPGe,2,"$155,000",2021-2022,Coupe,Electric,0,2,Diesel,"['blue', 'silver', 'grey', 'green']"
263,d1b35f20-587d-4292-9d83-d398d0776ed2,Polestar,Polestar 2,408 hp,487 lb-ft,Single-speed direct drive,AWD,92 MPGe,4,"$59,900",2021-2022,Crossover,Electric,0,4,Diesel,"['blue', 'black', 'silver', 'grey', 'green', 'silver']"
264,f8748581-3076-4c49-8643-2a6467dcfcc7,Polestar,Polestar 3,476 hp,502 lb-ft,Single-speed automatic,All-wheel drive,111 MPGe,5,"Starting at $61,900",2022-Present,Sedan,Electric,0,2,CNG,"['white', 'blue', 'grey', 'brown']"
265,fe91a938-12a2-4267-a130-e5652cbf95a0,Lucid Motors,Lucid Air,819 hp,908 lb-ft,Single-speed automatic,All-wheel drive,520 miles,5,"Starting at $77,400",2022-Present,Sedan,Electric,0,5,CNG,"['green', 'silver', 'brown']"
266,887b9af3-0e6b-46f7-bb36-f1e56ded27b4,Lucid Motors,Lucid Air Dream Edition Performance,"1,111 hp","1,341 lb-ft",Single-speed automatic,All-wheel drive,483 miles,5,"Starting at $169,000",2022-Present,Sedan,Electric,0,2,Diesel,"['grey', 'yellow', 'brown']"
267,b0f55c8a-1481-44c3-aae3-a5dd6bbab0a8,Rivian,R1T,835 hp,908 lb-ft,4-motor all-wheel drive,0-60 mph in 3 seconds,314 miles,5,"Starting at $67,500",2022-Present,Pickup truck,Electric,0,2,CNG,"['red', 'blue', 'black', 'silver', 'grey']"
268,c1d9b288-17ae-48b3-b8aa-eb69160b964c,Rivian,R1S,835 hp,908 lb-ft,4-motor all-wheel drive,0-60 mph in 3 seconds,314 miles,5,"Starting at $70,000",2022-Present,SUV,Electric,0,2,Petrol,"['white', 'blue', 'black', 'silver', 'grey', 'green', 'yellow', 'silver', 'brown']"
269,f429fc44-56bb-44ae-93ef-6a78189c557c,Faraday Future,FF 91,1050 hp,1000 lb-ft,Single-speed automatic,All-wheel drive,405 miles,5,"Starting at $180,000",2023-Present,SUV,Electric,0,5,Diesel,"['white', 'blue', 'black', 'grey', 'yellow', 'silver', 'brown']"
270,ee38294d-493c-4f27-949e-752112c36a87,Faraday Future,FF 91,1050 hp,1000 lb-ft,Single-speed automatic,All-wheel drive,405 miles,5,"Starting at $180,000",2023-Present,SUV,Electric,0,7,Diesel,"['red', 'silver']"
271,d572a01c-36fd-479a-b341-af93fc8f9575,Alpina,B3,455 hp,516 lb-ft,8-speed automatic,All-wheel drive,20/27 mpg,4,"Starting at $74,900",2023-Present,Sedan,Twin-turbocharged inline-6,6,2,Diesel,"['red', 'white', 'blue', 'grey', 'yellow']"
272,ce552cf3-c76a-4f54-a201-b2a790d1b57a,Alpina,B4,533 hp,553 lb-ft,8-speed automatic,All-wheel drive,19/26 mpg,5,"Starting at $84,900",2023-Present,Wagon,Twin-turbocharged inline-6,6,4,Petrol,"['white', 'grey', 'green', 'yellow', 'brown']"
273,dd3033f0-4dd8-48f2-9b1b-3ab97b15d2f2,Alpina,B5,533 hp,553 lb-ft,8-speed automatic,All-wheel drive,19/26 mpg,5,"Starting at $94,900",2023-Present,Sedan,Twin-turbocharged inline-6,6,5,CNG,"['white', 'blue', 'silver', 'green', 'yellow', 'silver', 'brown']"
274,5efe89e2-ced9-402c-ad8f-3a40d97d6576,Alpina,B7,612 hp,590 lb-ft,8-speed automatic,All-wheel drive,17/24 mpg,5,"Starting at $139,900",2023-Present,Sedan,Twin-turbocharged V8,8,5,CNG,"['red', 'white', 'grey', 'yellow', 'brown']"
275,a09c2b06-6e08-43a5-b4f7-8735a12c8cb7,Alpina,XB7,612 hp,590 lb-ft,8-speed automatic,All-wheel drive,17/24 mpg,7,"Starting at $149,900",2023-Present,SUV,Twin-turbocharged V8,8,5,Diesel,"['white', 'grey', 'green', 'yellow', 'brown']"
276,27c35114-3495-4548-8cf5-c70a478eb9a0,Cadillac,CT4,237 hp,295 lb-ft,8-speed automatic,Rear-wheel drive,22/32 mpg,4,"Starting at $33,295",2023-Present,Sedan,Turbocharged inline-4,4,5,Petrol,"['white', 'blue', 'silver', 'yellow', 'brown']"
277,7a0fd9f4-4df8-44c5-81d2-9c0ab5fd675b,Cadillac,CT4-V,325 hp,380 lb-ft,10-speed automatic,All-wheel drive,19/29 mpg,4,"Starting at $46,295",2023-Present,Sedan,Twin-turbocharged inline-4,4,5,Diesel,"['red', 'white', 'blue', 'silver']"
278,0603e814-4483-4374-b496-42e2a48e6433,Cadillac,CT5,237 hp,295 lb-ft,8-speed automatic,Rear-wheel drive,22/32 mpg,4,"Starting at $39,995",2023-Present,Sedan,Turbocharged inline-4,4,4,Petrol,"['blue', 'black', 'silver', 'green', 'yellow', 'silver']"
279,2c002586-2620-49fe-8055-b1b8f7aa2f31,Cadillac,CT5-V,360 hp,405 lb-ft,10-speed automatic,All-wheel drive,18/28 mpg,4,"Starting at $55,795",2023-Present,Sedan,Twin-turbocharged V6,6,5,Petrol,"['red', 'blue', 'black', 'silver', 'yellow']"
280,5b4c24cf-732b-49a3-9216-9bd21b60b459,Cadillac,CT5-V Blackwing,668 hp,659 lb-ft,6-speed manual,Rear-wheel drive,16/25 mpg,2,"Starting at $84,995",2023-Present,Sedan,Naturally aspirated V8,8,4,Petrol,"['white', 'blue', 'silver']"
281,67c0c602-2ca5-45a4-8ec8-71d84e6c780c,Cadillac,Escalade,420 hp,460 lb-ft,10-speed automatic,All-wheel drive,17/25 mpg,4,"Starting at $76,295",2023-Present,SUV,V8,8,2,Diesel,"['red', 'white', 'silver', 'grey', 'green', 'silver', 'brown']"
282,c4d442a9-ff82-48ba-981c-2a834df5392c,Cadillac,XT4,237 hp,295 lb-ft,9-speed automatic,Front-wheel drive or all-wheel drive,23/30 mpg,5,"Starting at $35,795",2023-Present,SUV,Turbocharged inline-4,4,4,Diesel,"['white', 'blue']"
283,c3461b0f-81b1-4602-987f-7df39cbbc01a,Cadillac,XT5,237 hp,295 lb-ft,9-speed automatic,Front-wheel drive or all-wheel drive,21/28 mpg,5,"Starting at $41,795",2023-Present,SUV,Turbocharged inline-4,4,5,Diesel,"['silver', 'grey', 'brown']"
284,36aeaa49-beb7-4906-a308-1fe1294fa358,Cadillac,XT6,310 hp,271 lb-ft,10-speed automatic,All-wheel drive,19/26 mpg,7,"Starting at $59,995",2023-Present,SUV,Twin-turbocharged V6,6,5,CNG,"['red', 'black', 'silver']"
285,17c19dbd-bb59-4712-a8e7-5788a11c3a6a,Caterham,Seven 170,170 hp,127 lb-ft,5-speed manual,Rear-wheel drive,36 mpg (city)/44 mpg (highway),2,"Starting at £27,995",2023-Present,Sports car,4-cylinder,4,2,CNG,"['white', 'blue', 'black', 'silver', 'grey', 'yellow']"
286,5f4b6dd1-1c3b-47dc-9ae6-9a29b33979e1,Caterham,Seven 270,270 hp,177 lb-ft,6-speed manual,Rear-wheel drive,32 mpg (city)/40 mpg (highway),2,"Starting at £31,995",2023-Present,Sports car,4-cylinder,4,2,Diesel,"['white', 'black', 'silver']"
287,f5750765-f3c7-4eae-b2c0-8c2361a79e45,Caterham,Seven 360,360 hp,221 lb-ft,6-speed manual,Rear-wheel drive,29 mpg (city)/37 mpg (highway),2,"Starting at £36,995",2023-Present,Sports car,4-cylinder,4,5,CNG,"['white', 'blue', 'silver', 'grey', 'green', 'silver']"
288,d6f5856a-92c4-4bb4-893f-d1a9a129a685,Caterham,Seven 420,420 hp,265 lb-ft,6-speed manual,Rear-wheel drive,27 mpg (city)/35 mpg (highway),2,"Starting at £41,995",2023-Present,Sports car,4-cylinder,4,2,Diesel,"['red', 'blue', 'grey', 'silver']"
289,c565a82a-7c9a-4582-8ff9-e1d0f7e19d91,Caterham,Seven 620,620 hp,321 lb-ft,6-speed manual,Rear-wheel drive,25 mpg (city)/33 mpg (highway),2,"Starting at £54,995",2023-Present,Sports car,4-cylinder,4,2,Petrol,"['white', 'blue', 'grey', 'green', 'silver', 'brown']"
